产品网址：http://en.tiandy.com/index.php?s=/Home/Product/detail/id/295.html#
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|NVR|Pro|H.265 4HDD 40ch PSE NVR，支持多达 40 路 IP 摄像机输入，访问/转发带宽为 400Mbps/400Mbps，支持 S+265、H.265、S+264、H.264 视频格式，具有 16MP（30fps）×2、12MP（30fps）×3、8MP（30fps）×4、6MP（30fps）×4、5MP（30fps）×6、4MP（30fps）×8、3MP（30fps）×9、1080P（30fps）×16 预览解码能力，16 路同步回放，16MP（30fps）×2、12MP（30fps）×3、8MP（30fps）×4、6MP（30fps）×4、5MP（30fps）×6、4MP（30fps）×8、3MP（30fps）×9、1080P（30fps）×16 回放解码能力，每个 HDD 容量高达 10TB，独立 HDMI 和 VGA 输出，HDMI 输出高达 4K 分辨率，1×RJ-45，10/100/1000 Mbps 自适应以太网端口，PoE 接口，16×RJ45，10/100 Mbps 自适应以太网端口，S+265 压缩有效减少存储空间高达 75%，支持云升级|

Video and Audio,Unnamed: 1
AI by Camera,Tripwire; Double Tripwire; Perimeter; Object Abandon; Object Missing; Loiter; Running; Parking; Heatmap; Lens Dignose; Scene Switch Dignose; Signal Abnormal Detection; Signal Loss Detection; Plate License Recognition; On Duty Detection; Crowd Detection; Parking guard; Safety Helmet Detection; Electric vehicle testing; People Counting; Link To Tracking; Fireworks detection; Environmental temperature measurement; Face Detection; Human body temperature measurement; Advanced Intelligence; Cooperate with facial recognition machine
VCA Search,Heatmap; Early-warning search; Behavior Search; Plate license search; Search safety helmet; Thermographic retrieval; Duty search; Electric vehicle retrieval; Facial search
Face Detection,
Face Attributes,Gender; age; glasses; mouth mask; Body temp.
Face Recognition,
Face Picture Library,Up to 300 face libraries Up to 100000 base images
Face Picture Comparison,Cooperate with facial recognition machine
Storage,
HDD Capacity,Up to 10TB capacity for each HDD
Disk Group,4 Disk Group
RAID,"JBOD, RAID0, RAID1, RAID5, RAID6, RAID10"
External Port,
USB,2×USB2.0; 1×USB3.0
HDMI,1×HDMI(supports up to 4K resolution output)
VGA,1×VGA
Network Interface,"1×RJ-45, 10/100/1000 Mbps self-adaptive Ethernet port"
SATA,4×SATA interface
RS485,1×RS485
Alarm I/O,"16-ch, TTL inputs, 3mA, 3.3VDC; 4-ch, relay outputs, 1A, 24VDC"
PoE,
PoE Interface,"16×RJ45, 10/100 Mbps self-adaptive Ethernet port"
PoE Budget,200W
Power per PoE Port,30W
Standard,IEEE 802.3 af/at
General,
UI Language,Simple Chinese; Traditional Chinese; English; Spanish; Korean; Italian; Turkish; Russian; Thai; French; Polish; Dutch; Hebrew; Arabic; Vietnamese; German; Ukrainian; Portuguese; Albanian
Power Supply,100~240V AC
Power Consumption,<10W(without HDD&without PoE)
NetWeight,4.2Kg
GrossWeight,5.8Kg
Boundary Dimensions,440(L)347(W)75(H)mm
Package Dimensions,540(L)175(W)455(H)mm
Operating Temperature,-10℃~+55℃
Operating Humidity,10%~90%RH
Storage Temperature,-10℃~+55℃
Storage Humidity,10%~90%RH
Package Kit,Network Video Recorder; Screw pack; Mouse; European standard power cord; 2Ear plate; 4SATA hard disk data cable; 2SATA power cord


Date,Title,Type
2024-04-01,1D.20030.020183_TC-R3440 IBP16HV4.0_en,pdf
